query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle
93,hnsw_ef20,1.0,1.42,10,False,20,20,0,0,0,55119.0,74990.0,1.0,{},0.0,0.0,0.0,none,0.0
94,hnsw_ef20,1.0,0.9079999999999999,10,False,20,20,0,0,0,25783.0,73191.0,1.0,{},0.0,0.0,0.0,none,0.0
95,hnsw_ef20,0.9,1.868,9,False,20,20,0,0,0,93264.0,114270.0,1.0,{},0.0,0.0,0.0,none,0.0
96,hnsw_ef20,0.6,1.805,6,False,20,20,0,0,0,101357.0,111316.0,1.0,{},0.0,0.0,0.0,none,0.0
97,hnsw_ef20,0.9,1.701,9,False,20,20,0,0,0,92261.0,104254.0,1.0,{},0.0,0.0,0.0,none,0.0
98,hnsw_ef20,1.0,1.1900000000000002,10,False,20,20,0,0,0,18887.0,23629.0,1.0,{},0.0,0.0,0.0,none,0.0
99,hnsw_ef20,1.0,1.321,10,False,20,20,0,0,0,34082.0,114241.0,1.0,{},0.0,0.0,0.0,none,0.0
0,hnsw_ef50,1.0,3.72,10,False,50,50,0,0,0,76608.0,98017.0,1.0,{},0.0,0.0,0.0,none,0.0
1,hnsw_ef50,1.0,4.308,10,False,50,50,0,0,0,65973.0,76936.0,1.0,{},0.0,0.0,0.0,none,0.0
2,hnsw_ef50,1.0,3.8939999999999997,10,False,50,50,0,0,0,42740.0,61289.0,1.0,{},0.0,0.0,0.0,none,0.0
3,hnsw_ef50,1.0,5.562,10,False,50,50,0,0,0,46301.0,70326.0,1.0,{},0.0,0.0,0.0,none,0.0
4,hnsw_ef50,1.0,3.094,10,False,50,50,0,0,0,62755.0,81358.0,1.0,{},0.0,0.0,0.0,none,0.0
5,hnsw_ef50,1.0,3.665,10,False,50,50,0,0,0,75708.0,101335.0,1.0,{},0.0,0.0,0.0,none,0.0
6,hnsw_ef50,1.0,7.718,10,False,50,50,0,0,0,60816.0,72362.0,1.0,{},0.0,0.0,0.0,none,0.0
